,pt,de
0,que,Was
1,a,Das
2,o,Das
3,não,Nein
4,de,im
5,é,ist
6,e,und
7,um,ein
8,para,zum
9,eu,mir
10,uma,ein
11,está,es ist
12,com,mit
13,se,wenn
14,do,von
15,por,pro
16,os,das
17,ele,es
18,mas,aber
19,em,im
20,bem,gut
21,isso,Das
22,da,gibt
23,como,mögen
24,sim,Ja
25,as,beim
26,no,Bei der
27,mais,Mehr
28,na,beim
29,meu,meine
30,aqui,hierauf
31,muito,viel
32,ela,sie
33,isto,Dies
34,estou,ich bin
35,fazer,tun
36,vamos,wir werden
37,já,bereits
38,ser,sein
39,vai,gehen
40,à,Das
41,minha,meine
42,só,nur
43,ao,zu
44,tem,haben
45,tudo,alle
46,te,Sie
47,porque,Warum
48,há,es gibt
49,tenho,haben
50,vou,ich gehe
51,tu,Sie
52,sei,kennt
53,quando,Wann
54,agora,jetzt
55,estás,diese
56,você,Sie
57,lá,Dort
58,então,So
59,ter,Di
60,era,war
61,quem,Wer
62,onde,Wo
63,nada,nichts
64,ou,oder
65,coisa,Sache
66,dizer,sagen
67,são,sind
68,quero,Ich möchte
69,estava,war
70,sou,Uhr
71,seu,Ihre
72,pode,kann
73,mesmo,gleich
74,esta,es ist
75,eles,Sie
76,nós,wir
77,sua,Ihre
78,dos,Von
79,todos,alle
80,nos,wir
81,mim,mir
82,posso,ich kann
83,bom,gut
84,ver,um zu sehen
85,este,Dieses
86,casa,Haus
87,temos,wir haben
88,tens,habe
89,tua,Ihre
90,nunca,noch nie
91,estão,Sie sind
92,até,bis zu
93,assim,so was
94,teu,Ihre
95,acho,Überlegen
96,falar,sprechen
97,disse,sagte
98,ainda,immer noch
99,tempo,Zeit
100,também,ebenfalls
101,ir,gehen
102,pai,Papa
103,sobre,auf
104,quê,Was
105,és,sind
106,favor,Gefallen
107,depois,nach dem
108,tão,So
109,melhor,Beste
110,mãe,Mutter
111,talvez,vielleicht
112,olá,Hallo
113,obrigado,Danke
114,noite,Nacht-
115,ti,Sie
116,sabes,kennt
117,sempre,je
118,deus,Gott
119,estamos,wir sind
120,alguém,jemand
121,dia,Tag
122,certo,Recht
123,nem,Noch
124,alguma,etwas
125,vida,Leben
126,anos,Jahre
127,dele,seine
128,sem,ohne
129,vais,gehen
130,das,von
131,tinha,hätten
132,estar,Sein
133,queres,wollen
134,coisas,Zeug
135,homem,Mann
136,pessoas,Menschen
137,algo,etwas
138,pelo,Pelz
139,ficar,bleibe
140,boa,gut
141,sabe,Wissen Sie
142,parece,sieht aus
143,claro,klar
144,dois,zwei
145,verdade,Wahrheit
146,tipo,Art
147,preciso,brauchen
148,antes,Vor
149,senhor,Herr
150,lhe,Sie
151,podes,kann
152,apenas,nur
153,sr.,sr.
154,faz,tut
155,vocês,Sie
156,ninguém,niemand
157,trabalho,Job
158,outra,andere
159,espera,warten
160,saber,wissen
161,comigo,mit mir
162,vão,vergeblich
163,dinheiro,Geld
164,aí,Dort
165,podemos,wir können
166,pouco,wenig
167,essa,Das
168,esse,Das
169,grande,groß
170,pois,weil
171,pela,durch die
172,qualquer,irgendein
173,disso,von diesem
174,num,Auf eins
175,qual,welche
176,desculpa,Ausrede
177,dela,ihr
178,hoje,heute
179,toda,alle
180,deve,sollte
181,mulher,Frau
182,queria,ich wollte
183,fora,aus
184,filho,Sohn
185,cá,Hier
186,seja,Sein
187,meus,meine
188,nosso,unser
189,olha,sieht aus
190,vá,gehen
191,daqui,daher
192,sério,wirklich
193,oh,Oh
194,nossa,Wow
195,certeza,Sicherheit
196,diz,sagt
197,nome,Name
198,às,beim
199,outro,andere
200,todo,alle
201,dar,geben
202,tentar,Versuchen
203,sair,aussteigen
204,têm,haben
205,quanto,wie viel
206,pensar,Überlegen
207,mal,Schlecht
208,volta,Rückkehr
209,aconteceu,Es passierte
210,consigo,ich kann
211,três,drei
212,mundo,Welt
213,menos,nicht weniger
214,amigo,Freund
215,contigo,mit dir
216,embora,obwohl
217,numa,im
218,passa,verfliegt
219,porquê,Warum
220,problema,Problem
221,carro,Auto
222,lado,Seite
223,vezes,mal
224,nas,Bei der
225,fez,tat
226,seus,ihr
227,novo,Neu
228,merda,Scheisse
229,parte,Teil
230,todas,alle
231,aos,zu
232,primeiro,zuerst
233,será,es wird sein
234,lugar,Platz
235,voltar,Komm zurück
236,pensei,habe gedacht
237,algum,etwas
238,achas,Überlegen
239,dentro,Innerhalb
240,família,Familie
241,ali,Dort
242,razão,Grund
243,aquele,Das
244,dias,Tage
245,fui,ging
246,anda,Gehen
247,querida,sehr geehrter
248,sabia,ich wusste
249,duas,zwei
250,ideia,Idee
251,hora,Stunde
252,si,si
253,polícia,Polizei
254,podem,kann
255,forma,bilden
256,entre,zwischen
257,caso,Fall
258,gosto,Geschmack
259,atrás,hinter
260,homens,Männer
261,devia,sollte
262,aquilo,Das
263,amor,Liebe
264,pessoa,Person
265,ok,OK
266,podia,könnten
267,uns,etwas
268,desde,schon seit
269,somos,sind
270,cabeça,Kopf
271,horas,Std
272,deles,ihr
273,fica,bleibe
274,ajudar,helfen
275,tarde,Nachmittag
276,momento,Zeit
277,tal,eine solche
278,tenha,hat
279,pronto,bereit
280,fiz,gemacht
281,foram,wurden
282,ia,würde
283,cidade,Stadt
284,amigos,Freunde
285,encontrar,Treffen
286,frente,Vorderseite
287,sido,gewesen
288,passar,bestehen
289,deixar,verlassen
290,vi,sah
291,nenhum,keiner
292,gente,Menschen
293,durante,während
294,seria,wäre
295,outros,Andere
296,entrar,Einloggen
297,chegar,ankommen
298,nova,Neu
299,trabalhar,arbeiten
300,quase,fast
301,desculpe,entschuldigen Sie mich
302,amanhã,Morgen
303,tanto,so viel
304,fosse,war
305,história,Geschichte
306,irmão,Bruder
307,cima,oben
308,contra,gegen
309,morrer,sterben
310,maneira,Weg
311,suas,Ihre
312,enquanto,Während
313,alguns,etwas
314,ajuda,Hilfe
315,precisa,brauchen
316,morto,tot
317,primeira,zuerst
318,porta,Tür
319,minhas,meine
320,medo,Angst
321,morte,Tod
322,aquela,Das
323,óptimo,Optimum
324,caminho,Weg
325,vir,Komm
326,feliz,glücklich
327,sinto,ich
328,minutos,Protokoll
329,ouvir,hören
330,desta,Dies
331,tive,ich hatte
332,neste,in diesem
333,matar,töten
334,cada,jeder
335,estes,diese
336,acontecer,passieren
337,espero,ich erwarte
338,ano,Jahr
339,rapaz,Junge
340,precisamos,Wir brauchen
341,for,ist
342,causa,Ursache
343,feito,erledigt
344,sorte,Glück
345,lamento,tut mir leid
346,filha,Tochter
347,acha,Überlegen
348,teus,Ihre
349,levar,mitnehmen
350,conta,Konto
351,estas,diese
352,arma,Waffe
353,pessoal,Leute
354,quarto,Zimmer
355,olhos,Augen
356,senhora,Dame
357,adeus,Auf Wiedersehen
358,cara,Kerl
359,disto,davon
360,algumas,etwas
361,juntos,zusammen
362,difícil,schwer
363,última,letzte
364,única,nur
365,manhã,Morgen
366,importante,wichtig
367,poder,Leistung
368,ei,Hallo
369,água,Wasser
370,começar,Start
371,faço,ich mache
372,perto,schließen
373,cuidado,Vorsichtig
374,sangue,Blut
375,nossos,unser
376,semana,Woche
377,mesma,gleich
378,usar,verwenden
379,significa,meint
380,acredito,Ich glaube
381,querem,Sie wollen
382,cinco,fünf
383,acabou,beendet
384,problemas,Probleme
385,corpo,Körper
386,altura,Höhe
387,disseste,sagte
388,nisso,dass
389,chefe,Chef
390,jogo,Spiel
391,guerra,Krieg
392,fala,spricht
393,procura,Nachfrage
394,dr.,DR.
395,sabemos,wir wissen
396,fizeste,tat
397,ouve,hört man
398,realmente,Ja wirklich
399,terra,Erde
400,ontem,gestern
401,umas,etwas
402,deixa-me,Lass mich
403,dólares,Dollar
404,comer,Essen
405,dormir,schlafen
406,dá,gibt
407,escola,Schule
408,logo,demnächst
409,querido,sehr geehrter
410,sabem,kennt
411,fim,Ende
412,deste,Dies
413,eram,Sie sind
414,pára,zum
415,agente,Agent
416,equipa,Mannschaft
417,rapariga,Mädchen
418,marido,Mann
419,calma,Ruhe
420,coração,Herz
421,segurança,Sicherheit
422,viver,Leben
423,estado,Zustand
424,parar,halt
425,teve,hätten
426,segundo,zweite
427,muitas,viele
428,quatro,vier
429,mão,Hand
430,baixo,niedrig
431,maior,größer
432,meio,meint
433,meses,Monate
434,mau,Schlecht
435,vê,sehen
436,ouvi,Ich habe gehört
437,andar,Fußboden
438,rápido,schnell
439,número,Nummer
440,vejo,Uhr
441,mulheres,Frauen
442,morreu,ist gestorben
443,nenhuma,keiner
444,acordo,aufwachen
445,festa,Party
446,fazes,Sie machen
447,capitão,Kapitän
448,raio,Blitz
449,pais,Eltern
450,suficiente,genug
451,poderia,könnten
452,sra.,Mme.
453,crianças,Kinder
454,estavam,Sie sind
455,força,Macht
456,muitos,Viele
457,nesta,in diesem
458,presidente,Präsident
459,buscar,Suche
460,filhos,Kinder
461,perder,verlieren
462,esperar,warten
463,viu,sah
464,irmã,Schwester
465,chega,kommt
466,possível,möglich
467,devias,Du solltest
468,sai,Blätter
469,acabar,Ende
470,rapazes,Jungen
471,precisas,genau
472,elas,Sie
473,contar,sagen
474,idiota,Dummkopf
475,olhar,aussehen
476,vossa,deine
477,teria,es hätte
478,foste,wast
479,estavas,wast
480,pena,Feder
481,mil,tausend
482,longe,weit
483,faça,Messer
484,penso,Ich denke
485,tivesse,hätten
486,tuas,Ihre
487,pedir,Fragen
488,estranho,seltsam
489,importa,es ist wichtig
490,fácil,einfach
491,muita,viele
492,veio,kam
493,brincar,abspielen
494,bebé,Baby
495,plano,planen
496,devo,ich
497,prazer,Vergnügen
498,velho,alt
499,conseguir,erhalten
500,passado,Vergangenheit
501,tomar,nehmen
502,além,darüber hinaus
503,jantar,Abendessen
504,dá-me,Gib mir
505,depressa,schnell
506,pergunta,Frage
507,tirar,nehmen
508,descobrir,entdecken
509,sala,Wohnzimmer
510,telefone,Telefon
511,trás,zurück
512,seis,sechs
513,culpa,Fehler
514,vos,Sie
515,exactamente,genau
516,possa,wahrscheinlich
517,deixa,Stichwort
518,errado,falsch
519,vivo,Leben
520,menina,Mädchen
521,john,John
522,casamento,Ehe
523,outras,Andere
524,espere,abwarten
525,pensa,Überlegen
526,jack,Jack
527,nossas,unser
528,correr,Lauf
529,mudar,wechseln
530,diga,Sag es
531,paz,Frieden
532,sentir,spüren
533,cama,Bett
534,gostava,ich mochte
535,sozinho,allein
536,pelos,durch
537,comida,Lebensmittel
538,sequer,sogar
539,falta,Mangel
540,ficou,blieb
541,conheço,ich weiß
542,gosta,mögen
543,passou,weitergegeben
544,bastante,ganz
545,deu,Er gab
546,provavelmente,höchstwahrscheinlich
547,palavra,Wort
548,demasiado,zu
549,diferente,anders
550,essas,diese
551,armas,Bewaffnung
552,digo,ich sage
553,licença,Lizenz
554,demais,zu viel
555,pagar,Zahlen
556,médico,Arzt
557,seguir,Folgen
558,semanas,Wochen
559,consegues,können Sie
560,dizem,sagen
561,matou,getötet
562,único,Single
563,acreditar,glauben
564,local,Platz
565,fazem,machen
566,pior,schlechter
567,próprio,besitzen
568,continua,Fortsetzung folgt
569,vosso,Ihre
570,consegue,kann
571,fico,Ich bekomme
572,diz-me,Sag mir
573,país,Eltern
574,gostaria,würde
575,forte,stark
576,partir,verlassen
577,prisão,Gefängnis
578,próxima,Nächster
579,especial,Besondere
580,esteja,ist
581,livro,Buch
582,oportunidade,Gelegenheit
583,viste,du sahst
584,rei,König
585,chegou,ist gekommen
586,esses,Jene
587,continuar,Fortsetzen
588,resto,sich ausruhen
589,ar,Luft
590,estive,Ich bin gewesen
591,hospital,Krankenhaus
592,sítio,Seite? ˅
593,fazê-lo,Tu es
594,raios,Strahlen
595,ligar,anmachen
596,porra,cum
597,minuto,Minute
598,irá,werden
599,sentido,Sinn
600,atenção,Warnung
601,vim,ich kam
602,quis,wollte
603,sam,Sam
604,queremos,wir wollen
605,direito,Recht
606,café,Kaffee
607,venha,Komm schon
608,visto,Visa
609,criança,Kind
610,luz,Licht
611,filme,Film
612,música,Musik-
613,portanto,deshalb
614,haver,Sein
615,esteve,war
616,aqueles,jene
617,pôr,pro
618,querer,wollen
619,sexo,Sex
620,fogo,Feuer
621,connosco,uns
622,beber,trinken
623,toma,nimmt
624,mr,Herr
625,houve,dort war
626,tratar,Zurecht kommen
627,pequena,wenig
628,ganhar,Sieg
629,ponto,Ergebnis
630,milhões,Millionen
631,manter,behalten
632,precisar,brauchen
633,rua,Straße
634,olhe,aussehen
635,pé,Fuß
636,fazemos,wir tun
637,encontrei,fand es
638,miúda,Mädchen
639,existe,existiert
640,arranjar,erhalten
641,dez,zehn
642,último,letzte
643,assassino,Mörder
644,miúdo,Kind
645,tinhas,Sie hatten
646,estávamos,wir waren
647,cedo,früh
648,vês,"Sie sehen,"
649,boca,Mund
650,boas,gut
651,acontece,es passiert
652,jovem,jung
653,preocupes,Sorge
654,comprar,Kauf
655,situação,Situation
656,esposa,Ehefrau
657,sistema,System
658,devem,sollte
659,jogar,abspielen
660,natal,Weihnachten
661,capaz,imstande
662,certa,sicher
663,michael,michael
664,amiga,Freund
665,seguro,sicher
666,questão,Frage
667,relação,Beziehung
668,perguntas,Fragen
669,encontro,Treffen
670,sob,unter
671,cão,Hund
672,quiseres,wollen
673,negócio,Unternehmen
674,quiser,wollen
675,nisto,hierauf
676,sinal,Signal
677,linda,wunderschönen
678,facto,"Fakt, dass"
679,mensagem,Botschaft
680,próximo,Nächster
681,apanhar,nehmen
682,adoro,Liebe
683,crime,Kriminalität
684,banho,Dusche
685,própria,besitzen
686,deves,Muss
687,grandes,grosse
688,chamada,Anruf
689,finalmente,schließlich
690,novamente,nochmal
691,futuro,Zukunft
692,começou,gestartet
693,perguntar,Fragen
694,notícias,Nachrichten
695,acabei,ich bin fertig
696,fique,bleibe
697,ambos,beide
698,lhes,Sie
699,chamar,anrufen
700,entendo,ich verstehe
701,cabelo,Haar
702,entra,gehört in
703,grupo,Gruppe
704,doutor,Arzt
705,salvar,speichern
706,livre,kostenlos
707,viagem,Reise
708,vontade,werden
709,sozinha,allein
710,conversa,Konversation
711,tipos,Arten
712,fugir,weglaufen
713,palavras,Wörter
714,consegui,Ich habe es
715,tinham,Sie hatten
716,devíamos,sollte
717,lista,Liste
718,gostas,mögen
719,lutar,Kampf
720,escritório,Büro
721,peço,Ich frage
722,final,Finale
723,procurar,Suchen nach
724,deixou,links
725,interessa,Interesse
726,bonito,ziemlich
727,chão,Fußboden
728,campo,Feld
729,perfeito,Perfekt
730,tio,Onkel
731,estiver,ist
732,pelas,durch
733,dito,sagte
734,respeito,Respekt
735,completamente,vollständig
736,deveria,sollte
737,vista,Aussicht
738,charlie,Charlie
739,breve,kurz
740,melhores,Beste
741,á,Das
742,bonita,wunderschönen
743,normal,normal
744,devemos,wir müssen
745,fiquei,blieb
746,mortos,tot
747,faria,machen würden
748,tom,Ton
749,mesa,Tabelle
750,preso,stecken
751,simples,einfach
752,iria,würde gehen
753,fixe,cool
754,emprego,Job
755,achei,ich fand
756,faças,tun
757,chama,Flamme
758,linha,Linie
759,dizes,sagen
760,real,echt
761,nave,Kirchenschiff
762,lembras-te,merken
763,assunto,Betreff
764,vale,Senke
765,cala-te,"halte den Mund, halt den Rand, Halt die Klappe"
766,ataque,Attacke
767,pensava,habe gedacht
768,frank,frank
769,ai,Dort
770,graças,Vielen Dank
771,escolha,Wahl
772,ordem,Bestellung
773,viva,am Leben
774,fundo,Unterseite
775,terá,werde haben
776,doente,krank
777,acidente,Unfall
778,má,Schlecht
779,the,das
780,modo,Modus
781,provas,Beweise
782,resposta,Antworten
783,bocado,Bit
784,papá,Papa
785,avião,Flugzeug
786,deixe-me,Lass mich
787,vindo,Kommen
788,após,nach dem
789,erro,Fehler
790,acredita,glaubt
791,miúdos,Kinder
792,verdadeiro,wahr
793,jesus,Jesus
794,idade,Alter
795,fizeram,gemacht
796,fantástico,Fantastisch
797,pare,Stop
798,morta,tot
799,leva,nimmt
800,percebo,ich verstehe
801,saiu,Exited
802,pensas,Überlegen
803,advogado,Anwalt
804,conhece,weiß
805,espaço,Raum
806,estivesse,war
807,fazia,war
808,serviço,Bedienung
809,missão,Mission
810,ler,lesen
811,louco,Verrückt
812,bons,Gut
813,conhecer,wissen
814,nele,in ihm
815,lindo,ziemlich
816,informação,Information
817,abrir,Öffnen
818,mente,Verstand
819,mike,Mike
820,perceber,wahrnehmen
821,amo-te,ich liebe dich
822,programa,Programm
823,veja,Aussehen
824,sol,Sonne
825,fomos,wir
826,simplesmente,einfach
827,caixa,Kassierer
828,sete,Sieben
829,senhores,Herren
830,hotel,Hotel
831,nessa,dass
832,gostar,mögen
833,incrível,unglaublich
834,puta,Nutte
835,amo,Meister
836,vai-te,gehen
837,david,David
838,dor,Schmerzen
839,joe,joe
840,dessa,davon
841,presente,Geschenk
842,carta,Brief
843,governo,Regierung
844,barco,Boot
845,loja,Geschäft
846,energia,Energie
847,pra,zum
848,vítima,Opfer
849,roupa,Kleidung
850,voz,Stimme
851,trouxe,gebracht
852,luta,Kampf
853,câmara,Kammer
854,disse-me,Er sagte mir
855,fome,Hunger
856,professor,Lehrer
857,estúpido,Blöd
858,mamã,Mama
859,mostrar,Show
860,hipótese,Hypothese
861,telemóvel,Telefon
862,reunião,Treffen
863,prova,Beweis
864,s,s
865,percebi,mir ist aufgefallen
866,casar,heiraten
867,general,Allgemeines
868,volto,zurück
869,trazer,bringen
870,olho,Auge
871,chamado,namens
872,conseguiu,bekam
873,exército,Heer
874,através,durch
875,lei,Recht
876,digas,sagen
877,banco,Bank
878,naquela,dabei
879,deixe,verlassen
880,nesse,dass
881,disseram,Sie sagten
882,conseguimos,wir können
883,segunda,Montag
884,tempos,Zeit
885,podias,Du könntest
886,tocar,berühren
887,mês,Monat
888,fbi,fbi
889,soube,ich wusste
890,tenhas,Sie haben
891,quantos,wie viele
892,creio,Ich denke
893,george,George
894,papel,Papier-
895,sonho,Traum
896,ver-te,wir sehen uns
897,desse,von diesem
898,tínhamos,Wir hatten
899,bar,Kneipe
900,povo,Menschen
901,tentei,Ich habe es versucht
902,eras,Ewigkeit
903,fizemos,Wir machten
904,cena,Szene
905,tenente,Leutnant
906,centro,Center
907,tivemos,wir hatten
908,conversar,sich unterhalten
909,teres,Ester
910,nao,Nein
911,vê-lo,sehe ihn
912,proteger,schützen
913,diabo,Teufel
914,parabéns,Herzliche Glückwünsche
915,bebida,Getränk
916,aposto,Wette
917,base,Base
918,tradução,Übersetzung
919,sinto-me,ich fühle
920,esperem,erwarten von
921,excelente,groß
922,comandante,Kommandant
923,voltou,kam zurück
924,namorada,Freundin
925,precisam,brauchen
926,sabias,wusste
927,empresa,Unternehmen
928,resolver,lösen
929,metade,halb
930,impossível,unmöglich
931,lembro,Ich erinnere mich
932,desapareceu,verschwundenen
933,interessante,interessant
934,acerca,Über
935,segundos,die 2
936,cair,fallen
937,engraçado,lustig
938,bela,wunderschönen
939,mentir,Lügen
940,costas,zurück
941,chave,Schlüssel
942,divertido,lustig
943,ouviste,gehört
944,juro,schwören
945,escrever,schreiben
946,piada,Scherz
947,oito,acht
948,levou,es dauerte
949,passada,letzte
950,guarda,bewachen
951,controlo,Steuerung
952,daí,so
953,apartamento,Wohnung
954,segredo,Geheimnis
955,decisão,Entscheidung
956,funciona,Es klappt
957,posição,Position
958,surpresa,Überraschung
959,parecia,Es schaute
960,cerca,Über
961,céu,Himmel
962,negócios,Unternehmen
963,cabo,Kabel
964,receber,bekommen
965,motivo,Grund
966,imediatamente,sofort
967,olhem,aussehen
968,vidas,Leben
969,passo,Schritt
970,tribunal,Gericht
971,max,max
972,contacto,Kontakt
973,começa,beginnt
974,ora,jetzt
975,ótimo,groß
976,bolas,Bälle
977,trabalha,Werk
978,tenham,haben
979,inferno,Hölle
980,estrada,Straße
981,delas,von ihnen
982,falei,Ich sprach
983,diria,würde sagen
984,cheio,voll
985,companhia,Unternehmen
986,ouça,Hör mal zu
